image,label
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch41/image_7.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch41/image7.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch9/image_3.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch9/image3.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch8/image_2.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch8/image2.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch87/image_5.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch87/image5.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch48/image_9.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch48/image9.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch53/image_2.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch53/image2.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch57/image_5.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch57/image5.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch78/image_1.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch78/image1.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch65/image_10.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch65/image10.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch81/image_4.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch81/image4.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch43/image_5.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch43/image5.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch59/image_4.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch59/image4.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch36/image_6.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch36/image6.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch48/image_6.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch48/image6.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch41/image_10.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch41/image10.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch36/image_1.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch36/image1.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch73/image_9.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch73/image9.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch79/image_5.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch79/image5.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch1/image_7.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch1/image7.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch28/image_9.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch28/image9.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch23/image_5.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch23/image5.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch4/image_4.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch4/image4.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch19/image_10.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch19/image10.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch32/image_1.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch32/image1.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch44/image_3.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch44/image3.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch42/image_3.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch42/image3.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch42/image_2.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch42/image2.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch75/image_3.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch75/image3.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch74/image_8.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch74/image8.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch37/image_2.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch37/image2.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch1/image_2.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch1/image2.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch4/image_10.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch4/image10.jpg
/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/image/batch53/image_10.jpg,/home/romala/catkin_ws/src/igvc_ros/igvc_perception/lane_unet/Dataset/label/batch53/image10.jpg
